City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
117,Aripuana,BR,-9.17,-60.63,96.42,27,0,2.46,clear sky,0.0,0
118,Bredasdorp,ZA,-34.53,20.04,50.0,76,0,3.36,clear sky,0.0,0
119,Umm Lajj,SA,25.02,37.27,84.11,63,0,7.92,clear sky,0.0,0
120,Guerrero Negro,MX,27.98,-114.06,89.71,27,0,11.63,clear sky,0.0,0
121,Torbay,CA,47.67,-52.73,69.01,68,75,10.29,broken clouds,0.0,0
122,Namibe,AO,-15.2,12.15,64.56,70,0,7.07,clear sky,0.0,0
123,Kinablangan,PH,7.69,126.55,78.13,74,96,4.12,overcast clouds,0.0,0
124,Yanam,IN,16.73,82.22,82.71,80,100,6.82,overcast clouds,0.0,0
125,Kavaratti,IN,10.57,72.64,80.82,84,100,23.53,moderate rain,2.73,0
126,Aklavik,CA,68.22,-135.01,53.6,66,40,4.7,scattered clouds,0.0,0
127,Mandalgovi,MN,45.76,106.27,63.64,50,0,9.31,clear sky,0.0,0
128,Kungurtug,RU,50.6,97.52,52.5,83,100,1.52,overcast clouds,0.0,0
129,Kudahuvadhoo,MV,2.67,72.89,83.79,76,17,9.93,few clouds,0.0,0
130,Ribeira Grande,PT,38.52,-28.7,73.4,78,40,6.93,scattered clouds,0.0,0
131,Ballina,AU,-28.87,153.57,61.0,87,90,3.36,overcast clouds,0.0,0
132,Ladario,BR,-19.0,-57.6,89.6,40,20,10.29,few clouds,0.0,0
133,Olafsvik,IS,64.89,-23.71,51.82,86,100,12.41,overcast clouds,0.0,0
134,Taree,AU,-31.9,152.47,51.8,100,100,8.05,overcast clouds,0.0,0
135,Sovetskiy,RU,61.36,63.58,65.53,50,21,10.09,few clouds,0.0,0
136,Annapolis,US,38.98,-76.49,88.0,78,75,11.41,heavy intensity rain,7.87,0
137,Mehran,IR,33.12,46.16,86.0,22,0,9.17,clear sky,0.0,0
138,Dikson,RU,73.51,80.55,42.75,87,100,12.5,overcast clouds,0.0,0
139,Santo Augusto,BR,-27.85,-53.78,57.2,100,90,8.05,overcast clouds,0.0,0
140,Cherskiy,RU,68.75,161.3,47.12,87,99,11.63,overcast clouds,0.0,0
141,Bethel,US,41.37,-73.41,84.0,74,75,10.29,broken clouds,0.0,0
142,Talnakh,RU,69.49,88.4,48.2,93,90,13.42,light intensity drizzle,0.0,0
143,Santiago Del Estero,AR,-27.8,-64.26,67.37,49,24,1.66,few clouds,0.0,0
144,Tashtagol,RU,52.77,87.89,51.96,90,48,1.41,scattered clouds,0.0,0
145,Touros,BR,-5.2,-35.46,73.4,100,90,8.05,light rain,0.0,0
146,Lalmohan,BD,22.34,90.74,83.7,83,100,17.52,moderate rain,1.53,0
147,Rafaela,AR,-31.25,-61.49,63.0,15,100,5.01,overcast clouds,0.0,0
148,Klupci,RS,44.53,19.25,80.6,69,40,3.36,scattered clouds,0.0,0
149,Nishihara,JP,26.18,127.76,82.4,88,40,5.82,scattered clouds,0.0,0
150,Hobart,AU,-42.88,147.33,46.0,93,90,2.48,overcast clouds,0.0,0
151,Shreveport,US,32.53,-93.75,93.99,63,75,8.05,broken clouds,0.0,0
152,Grindavik,IS,63.84,-22.43,51.8,87,75,12.75,light intensity drizzle,0.0,0
153,San Andres,CO,12.58,-81.7,87.8,70,90,16.11,overcast clouds,0.0,0
154,Denpasar,ID,-8.65,115.22,78.8,100,40,13.87,scattered clouds,0.0,0
155,Kongolo,CD,-5.38,27.0,79.03,51,77,3.0,broken clouds,0.0,0
156,Naze,JP,28.37,129.48,80.6,100,20,4.7,few clouds,0.0,0
157,Ituango,CO,7.17,-75.76,74.39,61,100,1.5,light rain,0.37,0
158,Thompson,CA,55.74,-97.86,60.8,72,90,4.7,overcast clouds,0.0,0
159,Nuuk,GL,64.18,-51.72,55.4,58,20,5.82,few clouds,0.0,0
160,Lavrentiya,RU,65.58,-171.0,52.05,57,0,6.76,clear sky,0.0,0
161,Puerto Colombia,CO,10.99,-74.95,75.2,94,75,5.82,thunderstorm with heavy rain,0.0,0
162,Clyde River,CA,70.47,-68.59,57.2,58,20,3.36,few clouds,0.0,0
163,Luderitz,NA,-26.65,15.16,55.4,82,0,13.87,clear sky,0.0,0
164,Hamilton,US,39.18,-84.53,88.0,48,40,10.29,scattered clouds,0.0,0
165,Fukue,JP,32.69,128.84,72.03,89,100,14.72,light rain,0.83,0
166,Akyab,MM,20.15,92.9,82.31,85,100,7.7,moderate rain,1.58,0
167,Shelburne,CA,44.08,-80.2,71.6,94,90,4.7,light rain,0.0,0
168,Almeria,ES,37.17,-2.33,87.8,45,20,25.28,few clouds,0.0,0
169,Sao Filipe,CV,14.9,-24.5,75.06,81,39,7.65,scattered clouds,0.0,0
170,Airai,TL,-8.93,125.41,57.9,100,43,3.91,scattered clouds,0.0,0
171,Zelenoborsk,RU,61.47,64.03,63.28,56,22,5.39,few clouds,0.0,0
172,Hualmay,PE,-11.1,-77.61,65.89,64,21,10.25,few clouds,0.0,0
173,Pangody,RU,65.85,74.49,55.42,70,0,7.87,clear sky,0.0,0
174,Acapulco,MX,16.86,-99.89,84.2,83,90,5.82,overcast clouds,0.0,0
175,Grand Gaube,MU,-20.01,57.66,72.0,59,86,8.99,light rain,0.16,0
176,Guilin,CN,25.28,110.29,75.2,94,40,3.58,scattered clouds,0.0,0
177,Henties Bay,NA,-22.12,14.28,57.0,81,0,8.01,clear sky,0.0,0
178,Chernyshevskiy,RU,63.01,112.47,53.51,88,20,7.31,few clouds,0.0,0
179,Sokolo,ML,14.73,-6.12,95.7,35,92,8.57,overcast clouds,0.0,0
180,Kavieng,PG,-2.57,150.8,82.42,75,100,10.94,overcast clouds,0.0,0
181,Gat,IL,31.61,34.76,82.0,83,0,4.27,clear sky,0.0,0
182,Ola,RU,59.58,151.28,53.51,90,9,1.83,clear sky,0.0,0
183,Pinawa,CA,50.15,-95.88,76.68,39,2,8.99,clear sky,0.0,0
184,Hondagua,PH,13.95,122.24,77.86,89,97,2.04,light rain,0.16,0
185,Arica,CL,-18.48,-70.3,62.6,63,0,10.29,clear sky,0.0,0
186,Iskateley,RU,67.68,53.15,53.67,77,0,5.1,clear sky,0.0,0
187,Husavik,IS,66.04,-17.34,55.4,66,90,8.05,overcast clouds,0.0,0
188,Spaichingen,DE,48.08,8.72,66.0,47,5,3.71,clear sky,0.0,0
189,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,51.8,100,75,2.24,light intensity shower rain,0.0,0
190,Norman Wells,CA,65.28,-126.83,55.4,82,75,8.05,broken clouds,0.0,0
191,Hvolsvollur,IS,63.75,-20.22,54.0,87,75,12.75,mist,0.0,0
192,Srandakan,ID,-7.94,110.25,75.54,86,71,5.32,broken clouds,0.0,0
193,Arraial Do Cabo,BR,-22.97,-42.03,80.6,54,0,14.99,clear sky,0.0,0
